Timestamp,Age_Group,Gender,Target_Exam,Attempt_Count,Performance_Category,Raw_Score_Text,Study_Hours_Category,Sleep_Hours_Category,Prep_Method,Stress_Level,Physical_Emotional_Symptoms,Stress_Primary_Source,Percentile_Score,Study_Hours_Num,Sleep_Hours_Num,Prep_Year,Prep_Month,Prep_Day,Prep_Weekday,Symptom_Count,Stress_Source_Count,Stress_Sleep_Ratio,High_Stress_Flag,Severe_Sleep_Deprived_Flag
2026-06-01 12:00:06,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),98.67,7-11 hours,5-6 hours,Offline physical coaching institutes / bootcamps,8.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",98.67,9.0,5.5,2026,6,1,Monday,5,4,1.45,1,1
2026-06-01 13:33:10,24-26,Male,Civil Services / Government Exams,3rd attempt,Below Average (Did not qualify),,4-7 hours,less than 5 hours,Online coaching apps / recorded platforms,8.0,"Chronic sleep deprivation / Insomnia, Imposter syndrome (feeling like you aren't smart enough)","Family expectations and societal pressure, Seeing peers move ahead in life",80.0,5.5,4.0,2026,6,1,Monday,2,2,2.0,1,1
2026-06-01 13:44:44,above 26,Male,Civil Services / Government Exams,1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,4-7 hours,7-8 hours,Online coaching apps / recorded platforms,1.0,,For my life ,80.0,5.5,7.5,2026,6,1,Monday,0,1,0.13,0,0
2026-06-01 13:53:13,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),,7-11 hours,less than 5 hours,Self-study entirely,10.0,,Fear of failure / wasting years of preparation,80.0,9.0,4.0,2026,6,1,Monday,0,1,2.5,1,1
2026-06-01 13:54:01,21-23,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",Na,4-7 hours,5-6 hours,Self-study entirely,5.0,,Family expectations and societal pressure,80.0,5.5,5.5,2026,6,1,Monday,0,1,0.91,0,1
2026-06-01 13:58:33,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",96,less than 4,5-6 hours,Self-study entirely,5.0,"Severe social isolation (cutting off friends/family), Imposter syndrome (feeling like you aren't smart enough)","Family expectations and societal pressure, Seeing peers move ahead in life",96.0,2.5,5.5,2026,6,1,Monday,2,2,0.91,0,1
2026-06-01 14:06:27,18 – 20,Male,"Engineering Entrance, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",yah question mere relatives jaisa kyon sound kar raha hai ,4-7 hours,less than 5 hours,Online coaching apps / recorded platforms,10.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough), anxiety ","Family expectations and societal pressure, Seeing peers move ahead in life",80.0,5.5,4.0,2026,6,1,Monday,6,2,2.5,1,1
2026-06-01 14:29:24,24-26,Male,Engineering Entrance,1st attempt (First-timer),Below Average (Did not qualify),,4-7 hours,5-6 hours,Offline physical coaching institutes / bootcamps,6.0,Imposter syndrome (feeling like you aren't smart enough),"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",80.0,5.5,5.5,2026,6,1,Monday,1,3,1.09,0,1
2026-06-01 14:37:34,Under 18,Male,Engineering Entrance,1st attempt (First-timer),Below Average (Did not qualify),50,less than 4,more than 8 hours,Offline physical coaching institutes / bootcamps,5.0,When I try to study PCM I feel like I am wasting my time .,"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",50.0,2.5,9.5,2026,6,1,Monday,1,4,0.53,0,0
2026-06-01 14:42:23,21-23,Female,Medical Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",No I’m not comfortable ,7-11 hours,5-6 hours,Online coaching apps / recorded platforms,8.0,"Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)",Family expectations and societal pressure,80.0,9.0,5.5,2026,6,1,Monday,4,1,1.45,1,1
2026-06-01 14:43:30,18 – 20,Male,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,less than 4,5-6 hours,Online coaching apps / recorded platforms,8.0,,Fear of failure / wasting years of preparation,80.0,2.5,5.5,2026,6,1,Monday,0,1,1.45,1,1
2026-06-01 15:05:13,Under 18,Male,Engineering Entrance,1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,less than 4,less than 5 hours,Self-study entirely,10.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Family expectations and societal pressure, Seeing peers move ahead in life",80.0,2.5,4.0,2026,6,1,Monday,5,2,2.5,1,1
2026-06-01 15:53:29,18 – 20,Male,Engineering Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",92.1,4-7 hours,less than 5 hours,Self-study entirely,8.0,,Fear of failure / wasting years of preparation,92.1,5.5,4.0,2026,6,1,Monday,0,1,2.0,1,1
2026-06-01 18:33:20,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",80,7-11 hours,less than 5 hours,Self-study entirely,9.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure",80.0,9.0,4.0,2026,6,1,Monday,3,2,2.25,1,1
2026-06-01 18:34:53,21-23,Male,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",78,12+ hours,less than 5 hours,Online coaching apps / recorded platforms,5.0,Frequent headaches or physical fatigue,Fear of failure / wasting years of preparation,78.0,13.0,4.0,2026,6,1,Monday,1,1,1.25,0,1
2026-06-01 18:39:22,18 – 20,Female,Medical Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,5-6 hours,Online coaching apps / recorded platforms,6.0,"Severe social isolation (cutting off friends/family), Sudden mood swings or panic attacks",Family expectations and societal pressure,80.0,5.5,5.5,2026,6,1,Monday,2,1,1.09,0,1
2026-06-01 18:39:26,18 – 20,Female,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,less than 4,less than 5 hours,Self-study entirely,5.0,"Chronic sleep deprivation / Insomnia, Frequent headaches or physical fatigue, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",80.0,2.5,4.0,2026,6,1,Monday,3,3,1.25,0,1
2026-06-01 18:40:08,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),Decent enough to get proper seat.,4-7 hours,5-6 hours,Self-study entirely,8.0,Imposter syndrome (feeling like you aren't smart enough),"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",80.0,5.5,5.5,2026,6,1,Monday,1,3,1.45,1,1
2026-06-01 18:40:13,18 – 20,Female,Engineering Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,7-8 hours,Online coaching apps / recorded platforms,7.0,"Frequent headaches or physical fatigue, Sudden mood swings or panic attacks","Fear of failure / wasting years of preparation, Family expectations and societal pressure",80.0,5.5,7.5,2026,6,1,Monday,2,2,0.93,0,0
2026-06-01 18:41:48,21-23,Female,"Medical Entrance, Other~",2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,7-8 hours,Offline physical coaching institutes / bootcamps,5.0,"Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Seeing peers move ahead in life",80.0,5.5,7.5,2026,6,1,Monday,3,2,0.67,0,0
2026-06-01 18:43:28,18 – 20,Male,Engineering Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",65,less than 4,7-8 hours,Online coaching apps / recorded platforms,6.0,Sudden mood swings or panic attacks,"Fear of failure / wasting years of preparation, Family expectations and societal pressure",65.0,2.5,7.5,2026,6,1,Monday,1,2,0.8,0,0
2026-06-01 19:11:24,18 – 20,Female,Other~,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,less than 4,less than 5 hours,Online coaching apps / recorded platforms,10.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",80.0,2.5,4.0,2026,6,1,Monday,4,3,2.5,1,1
2026-06-01 19:14:33,18 – 20,Female,"Civil Services / Government Exams, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),Below Average (Did not qualify),I don't remember ,less than 4,7-8 hours,Online coaching apps / recorded platforms,8.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",80.0,2.5,7.5,2026,6,1,Monday,4,4,1.07,1,0
2026-06-01 19:15:44,18 – 20,Male,Medical Entrance,2nd attempt,Excellent (Cleared the exam / Achieved target cutoff),,7-11 hours,7-8 hours,Offline physical coaching institutes / bootcamps,8.0,"Severe social isolation (cutting off friends/family), Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)",Family expectations and societal pressure,80.0,9.0,7.5,2026,6,1,Monday,3,1,1.07,1,0
2026-06-01 19:19:10,Under 18,Male,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",80,less than 4,less than 5 hours,Online coaching apps / recorded platforms,9.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",80.0,2.5,4.0,2026,6,1,Monday,5,4,2.25,1,1
2026-06-01 19:20:45,Under 18,Male,Other~,4 or more attempts,Excellent (Cleared the exam / Achieved target cutoff),1E+30,less than 4,more than 8 hours,Self-study entirely,1.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough), None, Form acche se banao","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living), Pata nai",1.0,2.5,9.5,2026,6,1,Monday,7,5,0.11,0,0
2026-06-01 19:25:03,18 – 20,Female,Civil Services / Government Exams,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,7-11 hours,less than 5 hours,Online coaching apps / recorded platforms,5.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Financial strain (high cost of coaching/living)",80.0,9.0,4.0,2026,6,1,Monday,3,3,1.25,0,1
2026-06-01 19:27:46,21-23,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",77,less than 4,5-6 hours,Self-study entirely,5.0,"Chronic sleep deprivation / Insomnia, Frequent headaches or physical fatigue, Imposter syndrome (feeling like you aren't smart enough)",Financial strain (high cost of coaching/living),77.0,2.5,5.5,2026,6,1,Monday,3,1,0.91,0,1
2026-06-01 19:40:34,18 – 20,Female,Medical Entrance,1st attempt (First-timer),Below Average (Did not qualify),,4-7 hours,5-6 hours,Self-study entirely,10.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Financial strain (high cost of coaching/living)",80.0,5.5,5.5,2026,6,1,Monday,5,3,1.82,1,1
2026-06-01 20:01:08,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),98.22 %ile,12+ hours,less than 5 hours,Offline physical coaching institutes / bootcamps,10.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",98.22,13.0,4.0,2026,6,1,Monday,5,4,2.5,1,1
2026-06-01 20:04:15,Under 18,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,less than 5 hours,Offline physical coaching institutes / bootcamps,6.0,,Fear of failure / wasting years of preparation,80.0,5.5,4.0,2026,6,1,Monday,0,1,1.5,0,1
2026-06-01 20:04:55,21-23,Male,Engineering Entrance,4 or more attempts,"Average (Passed, but did not achieve the required cutoff/rank)",100,less than 4,more than 8 hours,Self-study entirely,5.0,,Fear of failure / wasting years of preparation,100.0,2.5,9.5,2026,6,1,Monday,0,1,0.53,0,0
2026-06-01 20:05:41,Under 18,Others,"Engineering Entrance, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT), Other~",1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",82-83,7-11 hours,7-8 hours,Offline physical coaching institutes / bootcamps,7.0,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure",82.0,9.0,7.5,2026,6,1,Monday,5,2,0.93,0,0
2026-06-01 20:07:11,21-23,Male,"Medical Entrance, Civil Services / Government Exams, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",80,4-7 hours,5-6 hours,Online coaching apps / recorded platforms,7.0,,"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",80.0,5.5,5.5,2026,6,1,Monday,0,3,1.27,0,1
2026-06-01 20:17:50,Under 18,Male,Other~,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",77,less than 4,7-8 hours,Offline physical coaching institutes / bootcamps,7.0,"Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Imposter syndrome (feeling like you aren't smart enough)",Family expectations and societal pressure,77.0,2.5,7.5,2026,6,1,Monday,3,1,0.93,0,0
2026-06-01 20:21:55,above 26,Male,Other~,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),95%,less than 4,7-8 hours,Self-study entirely,8.0,Chronic sleep deprivation / Insomnia,Family expectations and societal pressure,95.0,2.5,7.5,2026,6,1,Monday,1,1,1.07,1,0
2026-06-01 20:26:46,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",91,4-7 hours,5-6 hours,Offline physical coaching institutes / bootcamps,7.0,"Chronic sleep deprivation / Insomnia, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure",91.0,5.5,5.5,2026,6,1,Monday,2,2,1.27,0,1
2026-06-01 20:28:37,above 26,Male,Other~,4 or more attempts,N/A (I am a first-time filer and haven't given the exam yet),30%,less than 4,less than 5 hours,Self-study entirely,2.0,,Financial strain (high cost of coaching/living),30.0,2.5,4.0,2026,6,1,Monday,0,1,0.5,0,1
2026-06-01 20:28:42,Under 18,Prefer not to say,Other~,4 or more attempts,"Average (Passed, but did not achieve the required cutoff/rank)",,less than 4,less than 5 hours,Online coaching apps / recorded platforms,10.0,Imposter syndrome (feeling like you aren't smart enough),Fear of failure / wasting years of preparation,80.0,2.5,4.0,2026,6,1,Monday,1,1,2.5,1,1
2026-06-01 20:30:18,21-23,Male,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,4-7 hours,5-6 hours,Self-study entirely,5.0,,"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",80.0,5.5,5.5,2026,6,1,Monday,0,4,0.91,0,1
2026-06-01 20:30:25,above 26,Male,Other~,4 or more attempts,Below Average (Did not qualify),10%,less than 4,less than 5 hours,Self-study entirely,1.0,,Fear of failure / wasting years of preparation,10.0,2.5,4.0,2026,6,1,Monday,0,1,0.25,0,1
2026-06-01 20:31:21,above 26,Female,Other~,1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,4-7 hours,5-6 hours,Self-study entirely,1.0,,,80.0,5.5,5.5,2026,6,1,Monday,0,0,0.18,0,1
2026-06-01 20:31:24,above 26,Male,"Engineering Entrance, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),78,7-11 hours,7-8 hours,Self-study entirely,3.0,,"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",78.0,9.0,7.5,2026,6,1,Monday,0,4,0.4,0,0
2026-06-01 20:32:47,above 26,Male,"Engineering Entrance, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT), Other~",2nd attempt,Excellent (Cleared the exam / Achieved target cutoff),80,7-11 hours,more than 8 hours,Self-study entirely,5.0,"Imposter syndrome (feeling like you aren't smart enough), None","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",80.0,9.0,9.5,2026,6,1,Monday,2,4,0.53,0,0
2026-06-01 20:32:51,above 26,Male,Other~,4 or more attempts,Below Average (Did not qualify),,less than 4,less than 5 hours,Self-study entirely,1.0,,Fear of failure / wasting years of preparation,80.0,2.5,4.0,2026,6,1,Monday,0,1,0.25,0,1
2026-06-01 20:34:25,above 26,Male,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,7-8 hours,Self-study entirely,8.0,Imposter syndrome (feeling like you aren't smart enough),"Fear of failure / wasting years of preparation, Family expectations and societal pressure",80.0,5.5,7.5,2026,6,1,Monday,1,2,1.07,1,0
2026-06-01 20:38:52,24-26,Male,"Civil Services / Government Exams, Other~",1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,less than 4,less than 5 hours,Online coaching apps / recorded platforms,9.0,"Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure",80.0,2.5,4.0,2026,6,1,Monday,3,2,2.25,1,1
2026-06-01 20:40:04,18 – 20,Female,Other~,2nd attempt,N/A (I am a first-time filer and haven't given the exam yet),,12+ hours,less than 5 hours,Self-study entirely,9.0,,Fear of failure / wasting years of preparation,80.0,13.0,4.0,2026,6,1,Monday,0,1,2.25,1,1
2026-06-01 20:46:22,18 – 20,Male,Civil Services / Government Exams,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",60,4-7 hours,5-6 hours,Online coaching apps / recorded platforms,6.0,,Fear of failure / wasting years of preparation,60.0,5.5,5.5,2026,6,1,Monday,0,1,1.09,0,1
2026-06-01 20:46:28,21-23,Male,Other~,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",70,4-7 hours,7-8 hours,Self-study entirely,5.0,Sudden mood swings or panic attacks,Family expectations and societal pressure,70.0,5.5,7.5,2026,6,1,Monday,1,1,0.67,0,0
2026-06-01 20:46:34,18 – 20,Male,Engineering Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",No,4-7 hours,5-6 hours,Online coaching apps / recorded platforms,10.0,,Seeing peers move ahead in life,80.0,5.5,5.5,2026,6,1,Monday,0,1,1.82,1,1
2026-06-01 20:47:37,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),,less than 4,more than 8 hours,Self-study entirely,1.0,Chronic sleep deprivation / Insomnia,"Family expectations and societal pressure, Seeing peers move ahead in life",80.0,2.5,9.5,2026,6,1,Monday,1,2,0.11,0,0
2026-06-01 20:48:28,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),99.889987,less than 4,more than 8 hours,Self-study entirely,10.0,Chronic sleep deprivation / Insomnia,Seeing peers move ahead in life,99.889987,2.5,9.5,2026,6,1,Monday,1,1,1.05,1,0
2026-06-01 20:49:14,24-26,Male,Other~,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",40,less than 4,5-6 hours,Self-study entirely,4.0,Chronic sleep deprivation / Insomnia,Family expectations and societal pressure,40.0,2.5,5.5,2026,6,1,Monday,1,1,0.73,0,1
2026-06-01 20:51:08,21-23,Male,Engineering Entrance,1st attempt (First-timer),Below Average (Did not qualify),,less than 4,7-8 hours,Self-study entirely,2.0,,Family expectations and societal pressure,80.0,2.5,7.5,2026,6,1,Monday,0,1,0.27,0,0
