Timestamp,What is your age?,What is your gender identification?,Which major competitive exam are you primarily preparing for / have taken?,How many times have you attempted this specific competitive exam?,How would you describe your score/performance in your most recent attempt?,"If you comfortable sharing, what was your approximate percentile or score range in your last attempt? (out of 100)","On average, how many hours per day do you dedicate to self-study and classes?",How many hours of sleep do you get on an average night during peak exam preparation?,What is your primary method of test preparation?,"On a scale of 1 to 10, how would you rate your overall daily stress level during the exam preparation phase?",Have you experienced any of the following physical or emotional symptoms regularly during your preparation? ,What do you feel is the primary source of your competitive exam stress?,Do you feel that your academic institution or coaching center provides adequate mental health or counseling support?,Column 14,Column 15,Column 16
01/06/2026 12:00:06,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),98.67,7-11 hours,5-6 hours,Offline physical coaching institutes / bootcamps,8,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 13:33:10,24-26,Male,Civil Services / Government Exams,3rd attempt,Below Average (Did not qualify),,4-7 hours,less than 5 hours,Online coaching apps / recorded platforms,8,"Chronic sleep deprivation / Insomnia, Imposter syndrome (feeling like you aren't smart enough)","Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 13:44:44,above 26,Male,Civil Services / Government Exams,1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,4-7 hours,7-8 hours,Online coaching apps / recorded platforms,1,None,For my life ,,,,
01/06/2026 13:53:13,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),,7-11 hours,less than 5 hours,Self-study entirely,10,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 13:54:01,21-23,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",Na,4-7 hours,5-6 hours,Self-study entirely,5,None,Family expectations and societal pressure,,,,
01/06/2026 13:58:33,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",96,less than 4,5-6 hours,Self-study entirely,5,"Severe social isolation (cutting off friends/family), Imposter syndrome (feeling like you aren't smart enough)","Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 14:06:27,18 – 20,Male,"Engineering Entrance, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",yah question mere relatives jaisa kyon sound kar raha hai ,4-7 hours,less than 5 hours,Online coaching apps / recorded platforms,10,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough), anxiety ","Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 14:29:24,24-26,Male,Engineering Entrance,1st attempt (First-timer),Below Average (Did not qualify),,4-7 hours,5-6 hours,Offline physical coaching institutes / bootcamps,6,Imposter syndrome (feeling like you aren't smart enough),"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 14:37:34,Under 18,Male,Engineering Entrance,1st attempt (First-timer),Below Average (Did not qualify),50,less than 4,more than 8 hours,Offline physical coaching institutes / bootcamps,5,When I try to study PCM I feel like I am wasting my time .,"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 14:42:23,21-23,Female,Medical Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",No I’m not comfortable ,7-11 hours,5-6 hours,Online coaching apps / recorded platforms,8,"Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)",Family expectations and societal pressure,,,,
01/06/2026 14:43:30,18 – 20,Male,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,less than 4,5-6 hours,Online coaching apps / recorded platforms,8,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 15:05:13,Under 18,Male,Engineering Entrance,1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,less than 4,less than 5 hours,Self-study entirely,10,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 15:53:29,18 – 20,Male,Engineering Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",92.1,4-7 hours,less than 5 hours,Self-study entirely,8,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 18:33:20,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",80,7-11 hours,less than 5 hours,Self-study entirely,9,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure",,,,
01/06/2026 18:34:53,21-23,Male,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",78,12+ hours,less than 5 hours,Online coaching apps / recorded platforms,5,Frequent headaches or physical fatigue,Fear of failure / wasting years of preparation,,,,
01/06/2026 18:39:22,18 – 20,Female,Medical Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,5-6 hours,Online coaching apps / recorded platforms,6,"Severe social isolation (cutting off friends/family), Sudden mood swings or panic attacks",Family expectations and societal pressure,,,,
01/06/2026 18:39:26,18 – 20,Female,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,less than 4,less than 5 hours,Self-study entirely,5,"Chronic sleep deprivation / Insomnia, Frequent headaches or physical fatigue, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 18:40:08,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),Decent enough to get proper seat.,4-7 hours,5-6 hours,Self-study entirely,8,Imposter syndrome (feeling like you aren't smart enough),"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 18:40:13,18 – 20,Female,Engineering Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,7-8 hours,Online coaching apps / recorded platforms,7,"Frequent headaches or physical fatigue, Sudden mood swings or panic attacks","Fear of failure / wasting years of preparation, Family expectations and societal pressure",,,,
01/06/2026 18:41:48,21-23,Female,"Medical Entrance, Other~",2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,7-8 hours,Offline physical coaching institutes / bootcamps,5,"Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Seeing peers move ahead in life",,,,
01/06/2026 18:43:28,18 – 20,Male,Engineering Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",65,less than 4,7-8 hours,Online coaching apps / recorded platforms,6,Sudden mood swings or panic attacks,"Fear of failure / wasting years of preparation, Family expectations and societal pressure",,,,
01/06/2026 19:11:24,18 – 20,Female,Other~,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,less than 4,less than 5 hours,Online coaching apps / recorded platforms,10,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 19:14:33,18 – 20,Female,"Civil Services / Government Exams, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),Below Average (Did not qualify),I don't remember ,less than 4,7-8 hours,Online coaching apps / recorded platforms,8,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 19:15:44,18 – 20,Male,Medical Entrance,2nd attempt,Excellent (Cleared the exam / Achieved target cutoff),,7-11 hours,7-8 hours,Offline physical coaching institutes / bootcamps,8,"Severe social isolation (cutting off friends/family), Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)",Family expectations and societal pressure,,,,
01/06/2026 19:19:10,Under 18,Male,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",80,less than 4,less than 5 hours,Online coaching apps / recorded platforms,9,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 19:20:45,Under 18,Male,Other~,4 or more attempts,Excellent (Cleared the exam / Achieved target cutoff),1E+30,less than 4,more than 8 hours,Self-study entirely,1,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough), None, Form acche se banao","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living), Pata nai",,,,
01/06/2026 19:25:03,18 – 20,Female,Civil Services / Government Exams,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,7-11 hours,less than 5 hours,Online coaching apps / recorded platforms,5,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Financial strain (high cost of coaching/living)",,,,
01/06/2026 19:27:46,21-23,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",77,less than 4,5-6 hours,Self-study entirely,5,"Chronic sleep deprivation / Insomnia, Frequent headaches or physical fatigue, Imposter syndrome (feeling like you aren't smart enough)",Financial strain (high cost of coaching/living),,,,
01/06/2026 19:40:34,18 – 20,Female,Medical Entrance,1st attempt (First-timer),Below Average (Did not qualify),,4-7 hours,5-6 hours,Self-study entirely,10,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Financial strain (high cost of coaching/living)",,,,
01/06/2026 20:01:08,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),98.22 %ile,12+ hours,less than 5 hours,Offline physical coaching institutes / bootcamps,10,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 20:04:15,Under 18,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,less than 5 hours,Offline physical coaching institutes / bootcamps,6,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 20:04:55,21-23,Male,Engineering Entrance,4 or more attempts,"Average (Passed, but did not achieve the required cutoff/rank)",100,less than 4,more than 8 hours,Self-study entirely,5,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 20:05:41,Under 18,Others,"Engineering Entrance, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT), Other~",1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",82-83,7-11 hours,7-8 hours,Offline physical coaching institutes / bootcamps,7,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure",,,,
01/06/2026 20:07:11,21-23,Male,"Medical Entrance, Civil Services / Government Exams, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",80,4-7 hours,5-6 hours,Online coaching apps / recorded platforms,7,None,"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 20:17:50,Under 18,Male,Other~,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",77,less than 4,7-8 hours,Offline physical coaching institutes / bootcamps,7,"Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Imposter syndrome (feeling like you aren't smart enough)",Family expectations and societal pressure,,,,
01/06/2026 20:21:55,above 26,Male,Other~,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),95%,less than 4,7-8 hours,Self-study entirely,8,Chronic sleep deprivation / Insomnia,Family expectations and societal pressure,,,,
01/06/2026 20:26:46,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",91,4-7 hours,5-6 hours,Offline physical coaching institutes / bootcamps,7,"Chronic sleep deprivation / Insomnia, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure",,,,
01/06/2026 20:28:37,above 26,Male,Other~,4 or more attempts,N/A (I am a first-time filer and haven't given the exam yet),30%,less than 4,less than 5 hours,Self-study entirely,2,None,Financial strain (high cost of coaching/living),,,,
01/06/2026 20:28:42,Under 18,Prefer not to say,Other~,4 or more attempts,"Average (Passed, but did not achieve the required cutoff/rank)",,less than 4,less than 5 hours,Online coaching apps / recorded platforms,10,Imposter syndrome (feeling like you aren't smart enough),Fear of failure / wasting years of preparation,,,,
01/06/2026 20:30:18,21-23,Male,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,4-7 hours,5-6 hours,Self-study entirely,5,None,"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 20:30:25,above 26,Male,Other~,4 or more attempts,Below Average (Did not qualify),10%,less than 4,less than 5 hours,Self-study entirely,1,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 20:31:21,above 26,Female,Other~,1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,4-7 hours,5-6 hours,Self-study entirely,1,None,,,,,
01/06/2026 20:31:24,above 26,Male,"Engineering Entrance, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),78,7-11 hours,7-8 hours,Self-study entirely,3,None,"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 20:32:47,above 26,Male,"Engineering Entrance, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT), Other~",2nd attempt,Excellent (Cleared the exam / Achieved target cutoff),80,7-11 hours,more than 8 hours,Self-study entirely,5,"Imposter syndrome (feeling like you aren't smart enough), None","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 20:32:51,above 26,Male,Other~,4 or more attempts,Below Average (Did not qualify),,less than 4,less than 5 hours,Self-study entirely,1,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 20:34:25,above 26,Male,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,7-8 hours,Self-study entirely,8,Imposter syndrome (feeling like you aren't smart enough),"Fear of failure / wasting years of preparation, Family expectations and societal pressure",,,,
01/06/2026 20:38:52,24-26,Male,"Civil Services / Government Exams, Other~",1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,less than 4,less than 5 hours,Online coaching apps / recorded platforms,9,"Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure",,,,
01/06/2026 20:40:04,18 – 20,Female,Other~,2nd attempt,N/A (I am a first-time filer and haven't given the exam yet),,12+ hours,less than 5 hours,Self-study entirely,9,,Fear of failure / wasting years of preparation,,,,
01/06/2026 20:46:22,18 – 20,Male,Civil Services / Government Exams,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",60,4-7 hours,5-6 hours,Online coaching apps / recorded platforms,6,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 20:46:28,21-23,Male,Other~,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",70,4-7 hours,7-8 hours,Self-study entirely,5,Sudden mood swings or panic attacks,Family expectations and societal pressure,,,,
01/06/2026 20:46:34,18 – 20,Male,Engineering Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",No,4-7 hours,5-6 hours,Online coaching apps / recorded platforms,10,None,Seeing peers move ahead in life,,,,
01/06/2026 20:47:37,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),,less than 4,more than 8 hours,Self-study entirely,1,Chronic sleep deprivation / Insomnia,"Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 20:48:28,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),99.889987,less than 4,more than 8 hours,Self-study entirely,10,Chronic sleep deprivation / Insomnia,Seeing peers move ahead in life,,,,
01/06/2026 20:49:14,24-26,Male,Other~,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",40,less than 4,5-6 hours,Self-study entirely,4,Chronic sleep deprivation / Insomnia,Family expectations and societal pressure,,,,
01/06/2026 20:51:08,21-23,Male,Engineering Entrance,1st attempt (First-timer),Below Average (Did not qualify),,less than 4,7-8 hours,Self-study entirely,2,None,Family expectations and societal pressure,,,,
01/06/2026 20:52:17,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),,7-11 hours,7-8 hours,Self-study entirely,3,None,7,,,,
01/06/2026 20:54:08,21-23,Female,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,5-6 hours,Online coaching apps / recorded platforms,9,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 20:55:17,21-23,Female,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,7-11 hours,7-8 hours,Online coaching apps / recorded platforms,7,Imposter syndrome (feeling like you aren't smart enough),"Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 21:00:36,18 – 20,Male,Other~,1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,4-7 hours,7-8 hours,Self-study entirely,6,Chronic sleep deprivation / Insomnia,Financial strain (high cost of coaching/living),,,,
01/06/2026 21:02:09,above 26,Female,Civil Services / Government Exams,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",Good,4-7 hours,5-6 hours,Self-study entirely,3,Frequent headaches or physical fatigue,Fear of failure / wasting years of preparation,,,,
01/06/2026 21:06:12,above 26,Female,"Medical Entrance, Other~",2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",I have never seen the result,4-7 hours,5-6 hours,Self-study entirely,9,Chronic sleep deprivation / Insomnia,"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 21:07:07,24-26,Female,"Medical Entrance, Other~",1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",60,4-7 hours,more than 8 hours,Self-study entirely,6,"Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Seeing peers move ahead in life",,,,
01/06/2026 21:10:40,24-26,Female,Civil Services / Government Exams,4 or more attempts,"Average (Passed, but did not achieve the required cutoff/rank)",76/100,less than 4,5-6 hours,Online coaching apps / recorded platforms,10,"Chronic sleep deprivation / Insomnia, Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 21:12:55,24-26,Female,Medical Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),,less than 4,7-8 hours,Self-study entirely,8,Sudden mood swings or panic attacks,,,,,
01/06/2026 21:31:11,above 26,Female,"Medical Entrance, Other~",2nd attempt,Below Average (Did not qualify),45,less than 4,less than 5 hours,Self-study entirely,7,Frequent headaches or physical fatigue,Fear of failure / wasting years of preparation,,,,
01/06/2026 21:34:15,21-23,Male,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",3rd attempt,Below Average (Did not qualify),,less than 4,7-8 hours,Online coaching apps / recorded platforms,2,Sudden mood swings or panic attacks,Family expectations and societal pressure,,,,
01/06/2026 21:34:17,21-23,Male,Other~,2nd attempt,Below Average (Did not qualify),I can't bcz I didn't prep for that I just went to check,less than 4,5-6 hours,Self-study entirely,7,"Chronic sleep deprivation / Insomnia, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Financial strain (high cost of coaching/living)",,,,
01/06/2026 21:36:44,24-26,Male,Medical Entrance,3rd attempt,Below Average (Did not qualify),,4-7 hours,7-8 hours,Online coaching apps / recorded platforms,4,Sudden mood swings or panic attacks,Seeing peers move ahead in life,,,,
01/06/2026 21:44:34,Under 18,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),99.47 percentile ,4-7 hours,5-6 hours,Online coaching apps / recorded platforms,7,"Imposter syndrome (feeling like you aren't smart enough), Self doubt, etc","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Financial strain (high cost of coaching/living)",,,,
01/06/2026 21:45:30,above 26,Male,Other~,4 or more attempts,Below Average (Did not qualify),,4-7 hours,7-8 hours,Online coaching apps / recorded platforms,8,"Severe social isolation (cutting off friends/family), Imposter syndrome (feeling like you aren't smart enough), Feeling like worthless ",Fear of failure / wasting years of preparation,,,,
01/06/2026 21:49:33,18 – 20,Male,Engineering Entrance,2nd attempt,Below Average (Did not qualify),44,4-7 hours,less than 5 hours,Online coaching apps / recorded platforms,10,"Chronic sleep deprivation / Insomnia, Frequent headaches or physical fatigue","Fear of failure / wasting years of preparation, Financial strain (high cost of coaching/living)",,,,
01/06/2026 21:49:38,24-26,Female,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",3rd attempt,Below Average (Did not qualify),,7-11 hours,more than 8 hours,Online coaching apps / recorded platforms,5,"Imposter syndrome (feeling like you aren't smart enough), None",Seeing peers move ahead in life,,,,
